CountryCode,Color,HasLowTesting,LastUpdate,NotificationRatePer100000,PositiveRate,TestsPer100000
OWID_KOS,NO_DATA,True,2022-05-07,8.753599999999278,2.018106655642908,241.8999999999869
PAK,GREEN,True,2022-05-19,0.7481999999999971,0.5395488721804067,66.50000000000063
PAN,DARKRED,False,2022-05-18,895.4525999999984,22.06327135542963,2226.6000000000076
PER,NO_DATA,False,2022-04-05,16.457099999999627,0.877679782903605,1031.7999999999984
PHL,NO_DATA,True,2022-04-29,1.5776999999994588,0.5121093750000223,128.0000000000001
PLW,DARKRED,False,2022-05-13,1353.5821000000026,7.730862710751055,10960.800000000017
POL,NO_DATA,True,2022-05-05,15.5487999999983,3.8944615384617536,162.5
PRT,DARKRED,False,2022-05-18,2678.865600000002,44.078590860378064,3639.099999999962
PRY,NO_DATA,True,2022-03-27,6.565399999999499,1.7101228788762468,170.90000000000032
PSE,NO_DATA,True,2022-03-15,7.582200000000012,2.9175550405564086,172.6
QAT,ORANGE,False,2022-05-18,62.41209999999992,0.793979573553148,3906.7000000000007
ROU,NO_DATA,False,2022-03-10,39.35119999999879,0.6365411688265352,2770.2999999999975
RUS,ORANGE,False,2022-05-15,45.50819999999949,3.7336383297287714,601.1000000000195
RWA,GREEN,False,2022-05-19,0.8135000000000219,0.13003257328990872,306.9999999999993
SAU,GREEN,False,2022-05-17,19.81000000000022,2.095060054242544,516.2000000000035
SEN,NO_DATA,True,2022-05-05,0.26750000000001817,0.5509803921567676,30.59999999999974
SGP,DARKRED,False,2022-05-09,574.2262000000017,3.929252764436502,3581.2
SLV,NO_DATA,False,2022-04-09,0.0,0.0,499.79999999999905
SRB,RED,False,2022-05-18,81.16080000000075,4.648231222763062,780.1999999999907
SSD,GREEN,True,2022-05-18,0.5271999999999935,0.6585014409221592,34.69999999999942
STP,GREEN,True,2022-05-15,4.029299999999784,0.7790603248260146,172.40000000000003
SUR,RED,True,2022-05-18,143.12319999999892,60.40462249614529,64.90000000000009
SVK,RED,False,2022-05-11,99.6280000000028,5.604815908031881,643.6999999999898
SVN,RED,False,2022-05-18,366.33059999999824,9.453843364756711,1654.800000000023
SWE,ORANGE,True,2022-05-15,34.61560000000172,8.309462789552331,202.89999999999964
SWZ,RED,True,2022-05-18,90.41520000000018,15.582477216238324,241.4000000000044
SYR,NO_DATA,True,2022-04-16,0.20790000000001782,1.6222222222226448,2.6999999999999247
TCD,GREEN,True,2022-05-18,0.017800000000005412,0.1512820512821189,3.89999999999997
TGO,GREEN,True,2022-05-15,0.44829999999992654,0.8340067340066958,29.699999999999704
THA,NO_DATA,False,2022-04-23,144.04979999999995,13.05443438914042,441.9999999999959
TLS,NO_DATA,False,2022-02-22,0.5208999999998923,0.04809308338712211,309.3999999999994
TTO,RED,False,2022-05-18,498.0854000000007,35.469938298177304,696.9000000000051
TUN,ORANGE,True,2022-05-15,9.02329999999929,4.109279204639789,120.69999999999936
TUR,ORANGE,False,2022-05-18,25.41900000000023,1.0733678086620708,1082.899999999995
TWN,DARKRED,False,2022-05-18,3513.5557,76.19863950527461,2749.000000000001
UGA,GREEN,True,2022-05-18,0.10399999999999636,0.0,33.899999999999864
UKR,NO_DATA,False,2022-02-18,0.0,0.0,846.4999999999975
URY,NO_DATA,False,2022-04-17,239.73130000000236,24.81303872579642,640.3999999999996
USA,RED,False,2022-05-13,401.4351000000024,17.043610710277306,1247.400000000016
VCT,NO_DATA,False,2022-03-15,127.61870000000053,1.6576631064213148,4662.599999999998
VNM,ORANGE,True,2022-05-11,38.4775999999998,357.8774999993034,4.000000000007731
VUT,NO_DATA,True,2022-02-27,305.2812999999998,87.39397163120556,169.20000000000002
ZAF,RED,False,2022-05-18,149.72019999999975,18.6579314528356,329.70000000000255
ZMB,GREEN,True,2022-05-16,6.289400000000024,3.750998668441821,75.10000000000048
ZWE,ORANGE,True,2022-05-18,14.285499999999956,7.4785522788201675,111.89999999999998
NO_DATA,NO_DATA,True,,0.0,0.0,0.0
